0:   1,   1 0 1 
 133:  12,  12 12211 12 
 134:  13,  13 22211 13 
 135:  13,   8 00021 8 
 136:  13,   9 10021 9 
 137:  13,  10 20021 10 
 138:  13,   9 01021 9 
 139:  13,  10 11021 10 
 140:  13,  11 21021 11 
 141:  13,  10 02021 10 
 142:  13,  11 12021 11 
 143:  13,  12 22021 12 
 144:  13,   9 00121 9 
 145:  13,  10 10121 10 
 146:  13,  11 20121 11 
 147:  13,  10 01121 10 
 148:  13,  11 11121 11 
 149:  13,  12 21121 12 
 150:  13,  11 02121 11 
 151:  13,  12 12121 12 
 152:  13,  13 22121 13 
 153:  13,  10 00221 10 
 154:  13,  11 10221 11 
 155:  13,  12 20221 12 
 156:  13,  11 01221 11 
 157:  13,  12 11221 12 
 158:  13,  13 21221 13 
 159:  13,  12 02221 12 
 160:  13,  13 12221 13 
 161:  14,  14 22221 14 
 162:  14,   7 00002 7 
 163:  14,   8 10002 8 
 164:  14,   9 20002 9 
 165:  14,   8 01002 8 
 166:  14,   9 11002 9 
 167:  14,  10 21002 10 
 168:  14,   9 02002 9 
 169:  14,  10 12002 10 
 170:  14,  11 22002 11 
 171:  14,   8 00102 8 
 172:  14,   9 10102 9 
 173:  14,  10 20102 10 
 174:  14,   9 01102 9 
 175:  14,  10 11102 10 
 176:  14,  11 21102 11 
 177:  14,  10 02102 10 
 178:  14,  11 12102 11 
 179:  14,  12 22102 12 
 180:  14,   9 00202 9 
 181:  14,  10 10202 10 
 182:  14,  11 20202 11 
 183:  14,  10 01202 10 
 184:  14,  11 11202 11 
 185:  14,  12 21202 12 
 186:  14,  11 02202 11 
 187:  14,  12 12202 12 
 188:  14,  13 22202 13 
 189:  14,   8 00012 8 
 190:  14,   9 10012 9 
 191:  14,  10 20012 10 
 192:  14,   9 01012 9 
 193:  14,  10 11012 10 
 194:  14,  11 21012 11 
 195:  14,  10 02012 10 
 196:  14,  11 12012 11 
 197:  14,  12 22012 12 
 198:  14,   9 00112 9 
 199:  14,  10 10112 10 
 200:  14,  11 20112 11 
 201:  14,  10 01112 10 
 202:  14,  11 11112 11 
 203:  14,  12 21112 12 
 204:  14,  11 02112 11 
 205:  14,  12 12112 12 
 206:  14,  13 22112 13 
 207:  14,  10 00212 10 
 208:  14,  11 10212 11 
 209:  14,  12 20212 12 
 210:  14,  11 01212 11 
 211:  14,  12 11212 12 
 212:  14,  13 21212 13 
 213:  14,  12 02212 12 
 214:  14,  13 12212 13 
 215:  14,  14 22212 14 
 216:  14,   9 00022 9 
 217:  14,  10 10022 10 
 218:  14,  11 20022 11 
 219:  14,  10 01022 10 
 220:  14,  11 11022 11 
 221:  14,  12 21022 12 
 222:  14,  11 02022 11 
 223:  14,  12 12022 12 
 224:  14,  13 22022 13 
 225:  14,  10 00122 10 
 226:  14,  11 10122 11 
 227:  14,  12 20122 12 
 228:  14,  11 01122 11 
 229:  14,  12 11122 12 
 230:  14,  13 21122 13 
 231:  14,  12 02122 12 
 232:  14,  13 12122 13 
 233:  14,  14 22122 14 
 234:  14,  11 00222 11 
 235:  14,  12 10222 12 
 236:  14,  13 20222 13 
 237:  14,  12 01222 12 
 238:  14,  13 11222 13 
 239:  14,  14 21222 14 
 240:  14,  13 02222 13 
 241:  14,  14 12222 14 
 242:  15,  15 22222 15 
 243:  15,   7 000001 7 
 244:  15,   8 100001 8 
 245:  15,   9 200001 9 
 246:  15,   8 010001 8 
 247:  15,   9 110001 9 
 248:  15,  10 210001 10 
 249:  15,   9 020001 9 
 250:  15,  10 120001 10 
 251:  15,  11 220001 11 
 252:  15,   8 001001 8 
 253:  15,   9 101001 9 
 254:  15,  10 201001 10 
 255:  15,   9 011001 9 
 256:  15,  10 111001 10 
 257:  15,  11 211001 11 
 258:  15,  10 021001 10 
 259:  15,  11 121001 11 
 260:  15,  12 221001 12 
 261:  15,   9 002001 9 
 262:  15,  10 102001 10 
 263:  15,  11 202001 11 
 264:  15,  10 012001 10 
 265:  15,  11 112001 11 
 266:  15,  12 212001 12 
 267:  15,  11 022001 11 
 268:  15,  12 122001 12 
 269:  15,  13 222001 13 
 270:  15,   8 000101 8 
 271:  15,   9 100101 9 
 272:  15,  10 200101 10 
 273:  15,   9 010101 9 
 274:  15,  10 110101 10 
 275:  15,  11 210101 11 
 276:  15,  10 020101 10 
 277:  15,  11 120101 11 
 278:  15,  12 220101 12 
 279:  15,   9 001101 9 
 280:  15,  10 101101 10 
 281:  15,  11 201101 11 
 282:  15,  10 011101 10 
 283:  15,  11 111101 11 
 284:  15,  12 211101 12 
 285:  15,  11 021101 11 
 286:  15,  12 121101 12 
 287:  15,  13 221101 13 
 288:  15,  10 002101 10 
 289:  15,  11 102101 11 
 290:  15,  12 202101 12 
 291:  15,  11 012101 11 
 292:  15,  12 112101 12 
 293:  15,  13 212101 13 
 294:  15,  12 022101 12 
 295:  15,  13 122101 13 
 296:  15,  14 222101 14 
 297:  15,   9 000201 9 
 298:  15,  10 100201 10 
 299:  15,  11 200201 11 
 300:  15,  10 010201 10 
 301:  15,  11 110201 11 
 302:  15,  12 210201 12 
 303:  15,  11 020201 11 
 304:  15,  12 120201 12 
 305:  15,  13 220201 13 
 306:  15,  10 001201 10 
 307:  15,  11 101201 11 
 308:  15,  12 201201 12 
 309:  15,  11 011201 11 
 310:  15,  12 111201 12 
 311:  15,  13 211201 13 
 312:  15,  12 021201 12 
 313:  15,  13 121201 13 
 314:  15,  14 221201 14 
 315:  15,  11 002201 11 
 316:  15,  12 102201 12 
 317:  15,  13 202201 13 
 318:  15,  12 012201 12 
 319:  15,  13 112201 13 
 320:  15,  14 212201 14 
 321:  15,  13 022201 13 
 322:  15,  14 122201 14 
 323:  15,  15 222201 15 
 324:  15,   8 000011 8 
 325:  15,   9 100011 9 
 326:  15,  10 200011 10 
 327:  15,   9 010011 9 
 328:  15,  10 110011 10 
 329:  15,  11 210011 11 
 330:  15,  10 020011 10 
 331:  15,  11 120011 11 
 332:  15,  12 220011 12 
 333:  15,   9 001011 9 
 334:  15,  10 101011 10 
 335:  15,  11 201011 11 
 336:  15,  10 011011 10 
 337:  15,  11 111011 11 
 338:  15,  12 211011 12 
 339:  15,  11 021011 11 
 340:  15,  12 121011 12 
 341:  15,  13 221011 13 
 342:  15,  10 002011 10 
 343:  15,  11 102011 11 
 344:  15,  12 202011 12 
 345:  15,  11 012011 11 
 346:  15,  12 112011 12 
 347:  15,  13 212011 13 
 348:  15,  12 022011 12 
 349:  15,  13 122011 13 
 350:  15,  14 222011 14 
 351:  15,   9 000111 9 
 352:  15,  10 100111 10 
 353:  15,  11 200111 11 
 354:  15,  10 010111 10 
 355:  15,  11 110111 11 
 356:  15,  12 210111 12 
 357:  15,  11 020111 11 
 358:  15,  12 120111 12 
 359:  15,  13 220111 13 
 360:  15,  10 001111 10 
 361:  15,  11 101111 11 
 362:  15,  12 201111 12 
 363:  15,  11 011111 11 
 364:  15,  12 111111 12 
 365:  15,  13 211111 13 
 366:  15,  12 021111 12 
 367:  15,  13 121111 13 
 368:  15,  14 221111 14 
 369:  15,  11 002111 11 
 370:  15,  12 102111 12 
 371:  15,  13 202111 13 
 372:  15,  12 012111 12 
 373:  15,  13 112111 13 
 374:  15,  14 212111 14 
 375:  15,  13 022111 13 
 376:  15,  14 122111 14 
 377:  15,  15 222111 15 
 378:  15,  10 000211 10 
 379:  15,  11 100211 11 
 380:  15,  12 200211 12 
 381:  15,  11 010211 11 
 382:  15,  12 110211 12 
 383:  15,  13 210211 13 
 384:  15,  12 020211 12 
 385:  15,  13 120211 13 
 386:  15,  14 220211 14 
 387:  15,  11 001211 11 
 388:  15,  12 101211 12 
 389:  15,  13 201211 13 
 390:  15,  12 011211 12 
 391:  15,  13 111211 13 
 392:  15,  14 211211 14 
 393:  15,  13 021211 13 
 394:  15,  14 121211 14 
 395:  15,  15 221211 15 
 396:  15,  12 002211 12 
 397:  15,  13 102211 13 
 398:  15,  14 202211 14 
 399:  15,  13 012211 13 
 400:  15,  14 112211 14 
 401:  15,  15 212211 15 
 402:  15,  14 022211 14 
 403:  15,  15 122211 15 
 404:  16,  16 222211 16 
 405:  16,   9 000021 9 
 406:  16,  10 100021 10 
 407:  16,  11 200021 11 
 408:  16,  10 010021 10 
 409:  16,  11 110021 11 
 410:  16,  12 210021 12 
 411:  16,  11 020021 11 
 412:  16,  12 120021 12 
 413:  16,  13 220021 13 
 414:  16,  10 001021 10 
 415:  16,  11 101021 11 
 416:  16,  12 201021 12 
 417:  16,  11 011021 11 
 418:  16,  12 111021 12 
 419:  16,  13 211021 13 
 420:  16,  12 021021 12 
 421:  16,  13 121021 13 
 422:  16,  14 221021 14 
 423:  16,  11 002021 11 
 424:  16,  12 102021 12 
 425:  16,  13 202021 13 
 426:  16,  12 012021 12 
 427:  16,  13 112021 13 
 428:  16,  14 212021 14 
 429:  16,  13 022021 13 
 430:  16,  14 122021 14 
 431:  16,  15 222021 15 
 432:  16,  10 000121 10 
 433:  16,  11 100121 11 
 434:  16,  12 200121 12 
 435:  16,  11 010121 11 
 436:  16,  12 110121 12 
 437:  16,  13 210121 13 
 438:  16,  12 020121 12 
 439:  16,  13 120121 13 
 440:  16,  14 220121 14 
 441:  16,  11 001121 11 
 442:  16,  12 101121 12 
 443:  16,  13 201121 13 
 444:  16,  12 011121 12 
 445:  16,  13 111121 13 
 446:  16,  14 211121 14 
 447:  16,  13 021121 13 
 448:  16,  14 121121 14 
 449:  16,  15 221121 15 
 450:  16,  12 002121 12 
 451:  16,  13 102121 13 
 452:  16,  14 202121 14 
 453:  16,  13 012121 13 
 454:  16,  14 112121 14 
 455:  16,  15 212121 15 
 456:  16,  14 022121 14 
 457:  16,  15 122121 15 
 458:  16,  16 222121 16 
 459:  16,  11 000221 11 
 460:  16,  12 100221 12 
 461:  16,  13 200221 13 
 462:  16,  12 010221 12 
 463:  16,  13 110221 13 
 464:  16,  14 210221 14 
 465:  16,  13 020221 13 
 466:  16,  14 120221 14 
 467:  16,  15 220221 15 
 468:  16,  12 001221 12 
 469:  16,  13 101221 13 
 470:  16,  14 201221 14 
 471:  16,  13 011221 13 
 472:  16,  14 111221 14 
 473:  16,  15 211221 15 
 474:  16,  14 021221 14 
 475:  16,  15 121221 15 
 476:  16,  16 221221 16 
 477:  16,  13 002221 13 
 478:  16,  14 102221 14 
 479:  16,  15 202221 15 
 480:  16,  14 012221 14 
 481:  16,  15 112221 15 
 482:  16,  16 212221 16 
 483:  16,  15 022221 15 
 484:  16,  16 122221 16 
 485:  17,  17 222221 17 
 486:  17,   8 000002 8 
 487:  17,   9 100002 9 
 488:  17,  10 200002 10 
 489:  17,   9 010002 9 
 490:  17,  10 110002 10 
 491:  17,  11 210002 11 
 492:  17,  10 020002 10 
 493:  17,  11 120002 11 
 494:  17,  12 220002 12 
 495:  17,   9 001002 9 
 496:  17,  10 101002 10 
 497:  17,  11 201002 11 
 498:  17,  10 011002 10 
 499:  17,  11 111002 11 
 500:  17,  12 211002 12 
 501:  17,  11 021002 11 
 502:  17,  12 121002 12 
 503:  17,  13 221002 13 
 504:  17,  10 002002 10 
 505:  17,  11 102002 11 
 506:  17,  12 202002 12 
 507:  17,  11 012002 11 
 508:  17,  12 112002 12 
 509:  17,  13 212002 13 
 510:  17,  12 022002 12 
 511:  17,  13 122002 13 
 512:  17,  14 222002 14 
 513:  17,   9 000102 9 
 514:  17,  10 100102 10 
 515:  17,  11 200102 11 
 516:  17,  10 010102 10 
 517:  17,  11 110102 11 
 518:  17,  12 210102 12 
 519:  17,  11 020102 11 
 520:  17,  12 120102 12 
 521:  17,  13 220102 13 
 522:  17,  10 001102 10 
 523:  17,  11 101102 11 
 524:  17,  12 201102 12 
 525:  17,  11 011102 11 
 526:  17,  12 111102 12 
 527:  17,  13 211102 13 
 528:  17,  12 021102 12 
 529:  17,  13 121102 13 
 530:  17,  14 221102 14 
 531:  17,  11 002102 11 
 532:  17,  12 102102 12 
 533:  17,  13 202102 13 
 534:  17,  12 012102 12 
 535:  17,  13 112102 13 
 536:  17,  14 212102 14 
 537:  17,  13 022102 13 
 538:  17,  14 122102 14 
 539:  17,  15 222102 15 
 540:  17,  10 000202 10 
 541:  17,  11 100202 11 
 542:  17,  12 200202 12 
 543:  17,  11 010202 11 
 544:  17,  12 110202 12 
 545:  17,  13 210202 13 
 546:  17,  12 020202 12 
 547:  17,  13 120202 13 
 548:  17,  14 220202 14 
 549:  17,  11 001202 11 
 550:  17,  12 101202 12 
 551:  17,  13 201202 13 
 552:  17,  12 011202 12 
 553:  17,  13 111202 13 
 554:  17,  14 211202 14 
 555:  17,  13 021202 13 
 556:  17,  14 121202 14 
 557:  17,  15 221202 15 
 558:  17,  12 002202 12 
 559:  17,  13 102202 13 
 560:  17,  14 202202 14 
 561:  17,  13 012202 13 
 562:  17,  14 112202 14 
 563:  17,  15 212202 15 
 564:  17,  14 022202 14 
 565:  17,  15 122202 15 
 566:  17,  16 222202 16 
 567:  17,   9 000012 9 
 568:  17,  10 100012 10 
 569:  17,  11 200012 11 
 570:  17,  10 010012 10 
 571:  17,  11 110012 11 
 572:  17,  12 210012 12 
 573:  17,  11 020012 11 
 574:  17,  12 120012 12 
 575:  17,  13 220012 13 
 576:  17,  10 001012 10 
 577:  17,  11 101012 11 
 578:  17,  12 201012 12 
 579:  17,  11 011012 11 
 580:  17,  12 111012 12 
 581:  17,  13 211012 13 
 582:  17,  12 021012 12 
 583:  17,  13 121012 13 
 584:  17,  14 221012 14 
 585:  17,  11 002012 11 
 586:  17,  12 102012 12 
 587:  17,  13 202012 13 
 588:  17,  12 012012 12 
 589:  17,  13 112012 13 
 590:  17,  14 212012 14 
 591:  17,  13 022012 13 
 592:  17,  14 122012 14 
 593:  17,  15 222012 15 
 594:  17,  10 000112 10 
 595:  17,  11 100112 11 
 596:  17,  12 200112 12 
 597:  17,  11 010112 11 
 598:  17,  12 110112 12 
 599:  17,  13 210112 13 
 600:  17,  12 020112 12 
 601:  17,  13 120112 13 
 602:  17,  14 220112 14 
 603:  17,  11 001112 11 
 604:  17,  12 101112 12 
 605:  17,  13 201112 13 
 606:  17,  12 011112 12 
 607:  17,  13 111112 13 
 608:  17,  14 211112 14 
 609:  17,  13 021112 13 
 610:  17,  14 121112 14 
 611:  17,  15 221112 15 
 612:  17,  12 002112 12 
 613:  17,  13 102112 13 
 614:  17,  14 202112 14 
 615:  17,  13 012112 13 
 616:  17,  14 112112 14 
 617:  17,  15 212112 15 
 618:  17,  14 022112 14 
 619:  17,  15 122112 15 
 620:  17,  16 222112 16 
 621:  17,  11 000212 11 
 622:  17,  12 100212 12 
 623:  17,  13 200212 13 
 624:  17,  12 010212 12 
 625:  17,  13 110212 13 
 626:  17,  14 210212 14 
 627:  17,  13 020212 13 
 628:  17,  14 120212 14 
 629:  17,  15 220212 15 
 630:  17,  12 001212 12 
 631:  17,  13 101212 13 
 632:  17,  14 201212 14 
 633:  17,  13 011212 13 
 634:  17,  14 111212 14 
 635:  17,  15 211212 15 
 636:  17,  14 021212 14 
 637:  17,  15 121212 15 
 638:  17,  16 221212 16 
 639:  17,  13 002212 13 
 640:  17,  14 102212 14 
 641:  17,  15 202212 15 
 642:  17,  14 012212 14 
 643:  17,  15 112212 15 
 644:  17,  16 212212 16 
 645:  17,  15 022212 15 
 646:  17,  16 122212 16 
 647:  17,  17 222212 17 
 648:  17,  10 000022 10 
 649:  17,  11 100022 11 
 650:  17,  12 200022 12 
 651:  17,  11 010022 11 
 652:  17,  12 110022 12 
 653:  17,  13 210022 13 
 654:  17,  12 020022 12 
 655:  17,  13 120022 13 
 656:  17,  14 220022 14 
 657:  17,  11 001022 11 
 658:  17,  12 101022 12 
 659:  17,  13 201022 13 
 660:  17,  12 011022 12 
 661:  17,  13 111022 13 
 662:  17,  14 211022 14 
 663:  17,  13 021022 13 
 664:  17,  14 121022 14 
 665:  17,  15 221022 15 
 666:  17,  12 002022 12 
 667:  17,  13 102022 13 
 668:  17,  14 202022 14 
 669:  17,  13 012022 13 
 670:  17,  14 112022 14 
 671:  17,  15 212022 15 
 672:  17,  14 022022 14 
 673:  17,  15 122022 15 
 674:  17,  16 222022 16 
 675:  17,  11 000122 11 
 676:  17,  12 100122 12 
 677:  17,  13 200122 13 
 678:  17,  12 010122 12 
 679:  17,  13 110122 13 
 680:  17,  14 210122 14 
 681:  17,  13 020122 13 
 682:  17,  14 120122 14 
 683:  17,  15 220122 15 
 684:  17,  12 001122 12 
 685:  17,  13 101122 13 
 686:  17,  14 201122 14 
 687:  17,  13 011122 13 
 688:  17,  14 111122 14 
 689:  17,  15 211122 15 
 690:  17,  14 021122 14 
 691:  17,  15 121122 15 
 692:  17,  16 221122 16 
 693:  17,  13 002122 13 
 694:  17,  14 102122 14 
 695:  17,  15 202122 15 
 696:  17,  14 012122 14 
 697:  17,  15 112122 15 
 698:  17,  16 212122 16 
 699:  17,  15 022122 15 
 700:  17,  16 122122 16 
 701:  17,  17 222122 17 
 702:  17,  12 000222 12 
 703:  17,  13 100222 13 
 704:  17,  14 200222 14 
 705:  17,  13 010222 13 
 706:  17,  14 110222 14 
 707:  17,  15 210222 15 
 708:  17,  14 020222 14 
 709:  17,  15 120222 15 
 710:  17,  16 220222 16 
 711:  17,  13 001222 13 
 712:  17,  14 101222 14 
 713:  17,  15 201222 15 
 714:  17,  14 011222 14 
 715:  17,  15 111222 15 
 716:  17,  16 211222 16 
 717:  17,  15 021222 15 
 718:  17,  16 121222 16 
 719:  17,  17 221222 17 
 720:  17,  14 002222 14 
 721:  17,  15 102222 15 
 722:  17,  16 202222 16 
 723:  17,  15 012222 15 
 724:  17,  16 112222 16 
 725:  17,  17 212222 17 
 726:  17,  16 022222 16 
 727:  17,  17 122222 17 
 728:  18,  18 222222 18 
 729:  18,   8 0000001 8 
 730:  18,   9 1000001 9 
 731:  18,  10 2000001 10 
 732:  18,   9 0100001 9 
 733:  18,  10 1100001 10 
 734:  18,  11 2100001 11 
 735:  18,  10 0200001 10 
 736:  18,  11 1200001 11 
 737:  18,  12 2200001 12 
 738:  18,   9 0010001 9 
 739:  18,  10 1010001 10 
 740:  18,  11 2010001 11 
 741:  18,  10 0110001 10 
 742:  18,  11 1110001 11 
 743:  18,  12 2110001 12 
 744:  18,  11 0210001 11 
 745:  18,  12 1210001 12 
 746:  18,  13 2210001 13 
 747:  18,  10 0020001 10 
 748:  18,  11 1020001 11 
 749:  18,  12 2020001 12 
 750:  18,  11 0120001 11 
 751:  18,  12 1120001 12 
 752:  18,  13 2120001 13 
 753:  18,  12 0220001 12 
 754:  18,  13 1220001 13 
 755:  18,  14 2220001 14 
 756:  18,   9 0001001 9 
 757:  18,  10 1001001 10 
 758:  18,  11 2001001 11 
 759:  18,  10 0101001 10 
 760:  18,  11 1101001 11 
 761:  18,  12 2101001 12 
 762:  18,  11 0201001 11 
 763:  18,  12 1201001 12 
 764:  18,  13 2201001 13 
 765:  18,  10 0011001 10 
 766:  18,  11 1011001 11 
 767:  18,  12 2011001 12 
 768:  18,  11 0111001 11 
 769:  18,  12 1111001 12 
 770:  18,  13 2111001 13 
 771:  18,  12 0211001 12 
 772:  18,  13 1211001 13 
 773:  18,  14 2211001 14 
 774:  18,  11 0021001 11 
 775:  18,  12 1021001 12 
 776:  18,  13 2021001 13 
 777:  18,  12 0121001 12 
 778:  18,  13 1121001 13 
 779:  18,  14 2121001 14 
 780:  18,  13 0221001 13 
 781:  18,  14 1221001 14 
 782:  18,  15 2221001 15 
 783:  18,  10 0002001 10 
 784:  18,  11 1002001 11 
 785:  18,  12 2002001 12 
 786:  18,  11 0102001 11 
 787:  18,  12 1102001 12 
 788:  18,  13 2102001 13 
 789:  18,  12 0202001 12 
 790:  18,  13 1202001 13 
 791:  18,  14 2202001 14 
 792:  18,  11 0012001 11 
 793:  18,  12 1012001 12 
 794:  18,  13 2012001 13 
 795:  18,  12 0112001 12 
 796:  18,  13 1112001 13 
 797:  18,  14 2112001 14 
 798:  18,  13 0212001 13 
 799:  18,  14 1212001 14 
 800:  18,  15 2212001 15 
 801:  18,  12 0022001 12 
 802:  18,  13 1022001 13 
 803:  18,  14 2022001 14 
 804:  18,  13 0122001 13 
 805:  18,  14 1122001 14 
 806:  18,  15 2122001 15 
 807:  18,  14 0222001 14 
 808:  18,  15 1222001 15 
 809:  18,  16 2222001 16 
 810:  18,   9 0000101 9 
 811:  18,  10 1000101 10 
 812:  18,  11 2000101 11 
 813:  18,  10 0100101 10 
 814:  18,  11 1100101 11 
 815:  18,  12 2100101 12 
 816:  18,  11 0200101 11 
 817:  18,  12 1200101 12 
 818:  18,  13 2200101 13 
 819:  18,  10 0010101 10 
 820:  18,  11 1010101 11 
 821:  18,  12 2010101 12 
 822:  18,  11 0110101 11 
 823:  18,  12 1110101 12 
 824:  18,  13 2110101 13 
 825:  18,  12 0210101 12 
 826:  18,  13 1210101 13 
 827:  18,  14 2210101 14 
 828:  18,  11 0020101 11 
 829:  18,  12 1020101 12 
 830:  18,  13 2020101 13 
 831:  18,  12 0120101 12 
 832:  18,  13 1120101 13 
 833:  18,  14 2120101 14 
 834:  18,  13 0220101 13 
 835:  18,  14 1220101 14 
 836:  18,  15 2220101 15 
 837:  18,  10 0001101 10 
 838:  18,  11 1001101 11 
 839:  18,  12 2001101 12 
 840:  18,  11 0101101 11 
 841:  18,  12 1101101 12 
 842:  18,  13 2101101 13 
 843:  18,  12 0201101 12 
 844:  18,  13 1201101 13 
 845:  18,  14 2201101 14 
 846:  18,  11 0011101 11 
 847:  18,  12 1011101 12 
 848:  18,  13 2011101 13 
 849:  18,  12 0111101 12 
 850:  18,  13 1111101 13 
 851:  18,  14 2111101 14 
 852:  18,  13 0211101 13 
 853:  18,  14 1211101 14 
 854:  18,  15 2211101 15 
 855:  18,  12 0021101 12 
 856:  18,  13 1021101 13 
 857:  18,  14 2021101 14 
 858:  18,  13 0121101 13 
 859:  18,  14 1121101 14 
 860:  18,  15 2121101 15 
 861:  18,  14 0221101 14 
 862:  18,  15 1221101 15 
 863:  18,  16 2221101 16 
 864:  18,  11 0002101 11 
 865:  18,  12 1002101 12 
 866:  18,  13 2002101 13 
 867:  18,  12 0102101 12 
 868:  18,  13 1102101 13 
 869:  18,  14 2102101 14 
 870:  18,  13 0202101 13 
 871:  18,  14 1202101 14 
 872:  18,  15 2202101 15 
 873:  18,  12 0012101 12 
 874:  18,  13 1012101 13 
 875:  18,  14 2012101 14 
 876:  18,  13 0112101 13 
 877:  18,  14 1112101 14 
 878:  18,  15 2112101 15 
 879:  18,  14 0212101 14 
 880:  18,  15 1212101 15 
 881:  18,  16 2212101 16 
 882:  18,  13 0022101 13 
 883:  18,  14 1022101 14 
 884:  18,  15 2022101 15 
 885:  18,  14 0122101 14 
 886:  18,  15 1122101 15 
 887:  18,  16 2122101 16 
 888:  18,  15 0222101 15 
 889:  18,  16 1222101 16 
 890:  18,  17 2222101 17 
 891:  18,  10 0000201 10 
 892:  18,  11 1000201 11 
 893:  18,  12 2000201 12 
 894:  18,  11 0100201 11 
 895:  18,  12 1100201 12 
 896:  18,  13 2100201 13 
 897:  18,  12 0200201 12 
 898:  18,  13 1200201 13 
 899:  18,  14 2200201 14 
 900:  18,  11 0010201 11 
 901:  18,  12 1010201 12 
 902:  18,  13 2010201 13 
 903:  18,  12 0110201 12 
 904:  18,  13 1110201 13 
 905:  18,  14 2110201 14 
 906:  18,  13 0210201 13 
 907:  18,  14 1210201 14 
 908:  18,  15 2210201 15 
 909:  18,  12 0020201 12 
 910:  18,  13 1020201 13 
 911:  18,  14 2020201 14 
 912:  18,  13 0120201 13 
 913:  18,  14 1120201 14 
 914:  18,  15 2120201 15 
 915:  18,  14 0220201 14 
 916:  18,  15 1220201 15 
 917:  18,  16 2220201 16 
 918:  18,  11 0001201 11 
 919:  18,  12 1001201 12 
 920:  18,  13 2001201 13 
